email,label
"urgent meeting tomorrow at 10am",important
"project report attached for review",important
"team meeting rescheduled to monday",important
"please review the project proposal",important
"deadline for submission is tonight",important
"important update about the conference",important
"client meeting scheduled this afternoon",important
"urgent request from management",important
"review the attached financial report",important
"board meeting agenda attached",important
"project milestone discussion tomorrow",important
"team coordination meeting today",important
"important notice regarding schedule",important
"please confirm meeting attendance",important
"report submission required today",important
"manager requested urgent feedback",important
"prepare presentation for tomorrow meeting",important
"important system maintenance notification",important
"please approve the budget report",important
"meeting with client at 2pm",important
"weekly project progress update",normal
"team lunch tomorrow afternoon",normal
"please check the shared document",normal
"schedule for next week attached",normal
"reminder for training session",normal
"new guidelines for documentation",normal
"project discussion later today",normal
"notes from yesterday meeting",normal
"update on internal policy",normal
"team building event invitation",normal
"please update your contact information",normal
"reminder to submit timesheet",normal
"monthly report preparation",normal
"meeting room booking confirmation",normal
"shared folder updated with files",normal
"project documentation available online",normal
"team schedule updated",normal
"review comments added to document",normal
"internal communication update",normal
"agenda for tomorrow discussion",normal
"please read the new procedure",normal
"documentation review request",normal
"status update for ongoing tasks",normal
"please attend the weekly meeting",normal
"discussion about upcoming project",normal
"system update scheduled tonight",normal
"training material available online",normal
"department announcement",normal
"project collaboration request",normal
"task assignment notification",normal
"limited time discount offer",spam
"buy now and save big",spam
"congratulations you won a prize",spam
"claim your free gift today",spam
"special promotion just for you",spam
"earn money quickly from home",spam
"exclusive deal available today",spam
"free vacation offer click now",spam
"you have been selected for reward",spam
"win a brand new smartphone",spam
"cheap products available now",spam
"limited offer act fast",spam
"get rich with this simple trick",spam
"investment opportunity guaranteed profit",spam
"online pharmacy cheap medicines",spam
"weight loss miracle product",spam
"crypto investment double your money",spam
"earn passive income easily",spam
"casino bonus free spins",spam
"special marketing promotion today",spam
"buy one get one free deal",spam
"unbelievable discount available now",spam
"click here to claim reward",spam
"exclusive membership offer today",spam
"instant loan approval online",spam
"lowest price guaranteed shop now",spam
"limited stock hurry up",spam
"get followers instantly online",spam
"free software download now",spam
"amazing business opportunity today",spam
"special coupon just for you",spam
"luxury watch discount today",spam
"cheap airline tickets buy now",spam
"free trial available today",spam
"unlock secret money strategy",spam
"special limited promotion click here",spam
"online course free access now",spam
"best deal of the year",spam
"urgent financial opportunity",spam
"limited investment offer today",spam
"urgent: your cloud server is nearing its limit",important
"final exam for distributed systems next tuesday",important
"meeting regarding the master thesis proposal",important
"invitation to the annual research symposium",important
"security update required for your university account",important
"your research paper has been accepted for publication",important
"urgent feedback requested on the draft report",important
"scholarship application deadline extended by one week",important
"meeting with the department head tomorrow at 9am",important
"confirmed: your flight to the conference is booked",important
"notes from the last study group session",normal
"gym membership renewal notice for next month",normal
"library book due date reminder for tomorrow",normal
"coffee break at 3pm in the student lounge",normal
"discussion about the weekend football match result",normal
"new recipe for a healthy breakfast shared with you",normal
"walking tour of the city center scheduled for saturday",normal
"looking for a study partner for the final exam",normal
"update on the new library opening hours",normal
"check out the photos from the class trip",normal
"win a free luxury cruise to the caribbean",spam
"your bank account is locked click here immediately",spam
"hidden crypto gems that will make you a millionaire",spam
"grow your business with 1m free followers instantly",spam
"buy replica watches at a 95% discount tonight",spam
"natural supplements for instant weight loss and energy",spam
"work from home and earn $1000 per hour easily",spam
"you have received a massive confidential inheritance",spam
"congratulations you are the 1,000,000th visitor click now",spam
"cheap luxury items available for a limited time only",spam
